開始時間,結束時間,內容
00:03:47.800,00:03:50.800,它是在可能在美國或在這個東京
00:03:50.800,00:03:53.800,或者是在香港的某一台電腦裡面
00:03:54.800,00:03:55.800,那這個電腦呢
00:03:55.800,00:03:56.800,跟你手機又有什麼關係
00:03:56.800,00:03:59.800,為什麼這個我把程式碼傳到這台電腦
00:03:59.800,00:04:01.800,然後我的手機會動
00:04:01.800,00:04:05.800,那就是因為呢它中間的通過這個Line Developer
00:04:05.800,00:04:08.800,那這個呢其實就是Line呢
00:04:08.800,00:04:09.800,它寫好的一個平台
00:04:09.800,00:04:12.800,"好,所以呢我們在做這個程式碼"
00:04:12.800,00:04:15.800,我們寫的程式碼為什麼它會動
00:04:15.800,00:04:17.800,因為我們寫這些指令呢
00:04:17.800,00:04:20.800,Heroku呢它就會去跟這個Line Developer
00:04:20.800,00:04:24.800,他們的這個平台呢做這個資料傳輸
00:04:24.800,00:04:26.800,說我想要做某一件事情
00:04:26.800,00:04:29.800,假設我要傳送給某一個人
00:04:29.800,00:04:30.800,跟他說你好嗎
00:04:30.800,00:04:33.800,這個機器人要對他說你好嗎
00:04:33.800,00:04:36.800,那這個時候Line它收到了這個訊息
00:04:36.800,00:04:38.800,你們的這個要求是合格的
00:04:38.800,00:04:40.800,然後呢它會把這個訊息
00:04:40.800,00:04:43.800,Line就會把這個訊息丟給這個機器人
00:04:43.800,00:04:45.800,就會丟到你的手機去
00:04:45.800,00:04:46.800,所以那個人就會收到
00:04:46.800,00:04:49.800,有這個機器人跟我說你好嗎
00:04:49.800,00:04:50.800,所以大家可以看到
00:04:50.800,00:04:53.800,這個Heroku跟這個我們的手機
00:04:53.800,00:04:56.800,對Line這個平台呢都是雙向的
00:04:56.800,00:05:01.800,就是因為呢他們溝通是有去有回的
00:05:01.800,00:05:05.800,有時候呢那個Heroku你告訴他指令嘛
00:05:05.800,00:05:07.800,但是Line可能又會回傳你
00:05:07.800,00:05:09.800,那個對方說了什麼訊息
00:05:09.800,00:05:10.800,或對方的ID是什麼
00:05:10.800,00:05:11.800,這個他還會告訴你
00:05:11.800,00:05:14.800,"好,那還有另外一種可能"
00:05:14.800,00:05:18.800,就是呢你的程式碼也可以直接對這個Line下達指令
00:05:18.800,00:05:20.800,那這種感覺很像是什麼
00:05:20.800,00:05:21.800,就是我直接寫一個程式碼
00:05:21.800,00:05:22.800,然後跟他說
00:05:22.800,00:05:23.800,欸
00:05:23.800,00:05:25.800,請幫我傳遞給Ivan這個用戶
00:05:25.800,00:05:28.800,跟他說你的這個電話費記得繳
00:05:28.800,00:05:30.800,就傳遞這句話
00:05:30.800,00:05:33.800,"好,那這種就是直接做下指令的動作"
00:05:33.800,00:05:35.800,我直接用Python就可以去寫
00:05:35.800,00:05:40.800,"好,所以這大概是整一個的這個流程"
00:05:40.800,00:05:44.800,以及呢我們這個運作的這個原理
00:05:44.800,00:05:45.800,那我們在後面的課程呢
00:05:45.800,00:05:48.800,就會跟大家稍微介紹一下了
00:05:48.800,00:05:50.800,那我們呢在前面的章節呢
00:05:50.800,00:05:52.800,會先幫大家去申請這個GitHub
00:05:52.800,00:05:53.800,還有呢
00:05:53.800,00:05:54.800,這個HeroCook
00:05:54.800,00:05:56.800,還有呢這個LineDevelop
00:05:56.800,00:05:57.800,三者呢
00:05:57.800,00:05:58.800,我們先幫大家申請好
00:05:58.800,00:05:59.800,然後呢
00:05:59.800,00:06:02.800,讓這三者可以連接在一起
00:06:02.800,00:06:04.800,當這三者連接在一起的時候
00:06:04.800,00:06:07.800,首先第一件事情就是讓我們的機器人可以動
00:06:07.800,00:06:08.800,當我們的機器人呢
00:06:08.800,00:06:09.800,他可以動
00:06:09.800,00:06:11.800,可以正常運作了以後
00:06:11.800,00:06:15.800,接下來我們的重點就會著重在你的程式碼的部分
00:06:15.800,00:06:18.800,因為你接下來就都是指令的問題了嘛
00:06:18.800,00:06:19.800,我們的指令下什麼東西
00:06:19.800,00:06:21.800,機器人呢會長什麼樣子
00:06:21.800,00:06:23.800,所以重點就會回到這個部分
00:06:23.800,00:06:25.800,然後我們就先把這個
00:06:25.800,00:06:26.800,我們先把這個
00:06:26.800,00:06:27.800,這個方塊的這個方塊
00:06:27.800,00:06:28.800,我們先把這個方塊的這個方塊
00:06:28.800,00:06:29.800,我們先把這個方塊的這個方塊
00:06:29.800,00:06:30.800,我們先把它連接起來
00:06:30.800,00:06:32.800,好那所以這主要會是第一章的內容
00:06:32.800,00:06:35.800,好後面才會是程式碼的部分
00:06:35.800,00:06:37.800,好那我們這堂課程介紹就到這邊
00:06:37.800,00:06:39.800,那我們下次再見囉
